Date,HSI,NYA,IXIC,000001.SS,N225,N100,399001.SZ,GSPTSE,NSEI,GDAXI,SSMI,TWII,J203.JO
2013-03-11 00:00:00,3001.8066403,9082.240234,3252.870117,369.69488288,123.4904981,882.24302928,1484.34562496,10672.555,59.42350098,9740.83384758,8612.101391220001,321.54880860000003,2868.8953125000003
2013-03-12 00:00:00,2975.7779493000003,9059.959961,3242.320068,365.8567968,123.1480957,881.99901464,1466.18234368,10689.2376763,59.14100098,9718.66654274,8661.25249536,319.78839844,2866.6722658
2013-03-13 00:00:00,2932.3645507,9057.019531,3245.120117,362.23488288,122.3966016,881.99901464,1451.71515632,10577.6026763,58.512001950000005,9724.51039032,8636.77667013,319.82039064,2861.3271092000005
2013-03-14 00:00:00,2940.4933597000004,9127.959961,3258.929932,363.244336,123.8119043,889.79483294,1453.96,10623.9173237,59.089501950000006,9831.21154274,8705.563608780001,318.07039064,2863.6004691000003
2013-03-15 00:00:00,2929.3042194000004,9116.620117,3249.070068,364.54414064,125.609502,883.52401464,1455.88640624,10648.9,58.72600098,9812.27711956,8729.473052070001,317.09960936,2853.0558987000004
2013-03-16 00:00:00,2929.3042194000004,9116.620117,3249.070068,364.54414064,125.609502,883.52401464,1455.88640624,10648.9,58.72600098,9812.27711956,8729.473052070001,317.09960936,2853.0558987000004
2013-03-17 00:00:00,2929.3042194000004,9116.620117,3249.070068,364.54414064,125.609502,883.52401464,1455.88640624,10648.9,58.72600098,9812.27711956,8729.473052070001,317.09960936,2853.0558987000004
2013-03-18 00:00:00,2870.8367194,9045.44043,3237.590088,358.40257808,122.2062988,882.0477878,1439.84312496,10608.8938423,58.3525,9773.0542379,8691.71082987,312.45359376,2832.9453908
2013-03-19 00:00:00,2865.4417194,9017.660156,3229.100098,361.18945312000005,124.6823047,874.3008183,1445.44640624,10602.3373237,57.45950195,9696.30384758,8646.456108780001,313.53880860000004,2824.2320316000005
2013-03-20 00:00:00,2893.3371285000003,9081.089844,3254.189941,370.78,124.6823047,883.19459146,1490.87515632,10646.0776763,56.94399902,9762.4036623,8710.94721645,311.9211914,2822.3152342000003
2013-03-21 00:00:00,2889.3645118000004,9009.660156,3222.600098,371.87871088,126.3569043,875.1181975599999,1492.20640624,10580.7573237,56.5875,9677.66191452,8616.15278355,312.47359376,2822.3152342000003
2013-03-22 00:00:00,2874.9891014000004,9065.780273,3245.0,372.52449216,123.3853027,874.95959146,1494.94562496,10588.6423237,56.51350098,9651.84711956,8596.206386580001,311.84880860000004,2804.4365237
2013-03-23 00:00:00,2874.9891014000004,9065.780273,3245.0,372.52449216,123.3853027,874.95959146,1494.94562496,10588.6423237,56.51350098,9651.84711956,8596.206386580001,311.84880860000004,2804.4365237
2013-03-24 00:00:00,2874.9891014000004,9065.780273,3245.0,372.52449216,123.3853027,874.95959146,1494.94562496,10588.6423237,56.51350098,9651.84711956,8596.206386580001,311.84880860000004,2804.4365237
2013-03-25 00:00:00,2892.6495507,9022.959961,3235.300049,372.27441408,125.4645996,868.3959853599999,1490.10078128,10524.981166,56.33850098,9602.49788044,8611.62443865,314.24480468,2800.6089454000003
2013-03-26 00:00:00,2900.4404104,9083.700195,3252.47998,367.6270312,124.7162012,871.8241817,1476.2623436800002,10546.3123237,56.41600098,9613.19730484,8658.05528355,314.25439452,2817.7275000000004
2013-03-27 00:00:00,2920.4266403,9070.44043,3256.52002,368.2016016,124.9379004,864.1991817,1476.02078128,10540.751165999998,56.41600098,9502.68960968,8635.98861342,315.76480468,2791.7708987
2013-03-28 00:00:00,2898.9520118,9107.040039,3267.52002,357.80832032,123.3595996,869.9576207399999,1433.48156256,10582.4173237,56.82549805,9510.27827198,8673.17361342,314.67519532,2790.2587888000003
2013-03-29 00:00:00,2898.9520118,9107.040039,3267.52002,357.85937504000003,123.9791016,869.9576207399999,1422.36312496,10582.4173237,56.82549805,9510.27827198,8673.17361342,316.74439452,2790.2587888000003
2013-03-30 00:00:00,2898.9520118,9107.040039,3267.52002,357.85937504000003,123.9791016,869.9576207399999,1422.36312496,10582.4173237,56.82549805,9510.27827198,8673.17361342,316.74439452,2790.2587888000003
2013-03-31 00:00:00,2898.9520118,9107.040039,3267.52002,357.85937504000003,123.9791016,869.9576207399999,1422.36312496,10582.4173237,56.82549805,9510.27827198,8673.17361342,316.74439452,2790.2587888000003
2013-04-01 00:00:00,2898.9520118,9107.759766,3239.169922,357.5032032,121.3501953,869.9576207399999,1430.04,10536.9326763,57.04399902,9510.27827198,8673.17361342,315.96960936,2790.2587888000003
2013-04-02 00:00:00,2907.8166403,9092.889648,3254.860107,356.43839840000004,120.03429690000002,884.86598536,1433.67359376,10526.142676299998,57.48100098,9691.52154274,8768.22278355,316.52720704,2802.8924217000003
2013-04-03 00:00:00,2903.8737299,8983.389648,3218.600098,356.04718752,123.622002,875.0327878,1434.31515632,10310.3426763,56.72899902,9607.195,8741.36110878,317.69400392,2759.0037888
2013-04-04 00:00:00,2903.8737299,9027.830078,3224.97998,356.04718752,126.3454004,867.51762074,1434.31515632,10261.3726763,55.7475,9537.21596714,8616.54139122,317.69400392,2734.5415237
2013-04-05 00:00:00,2824.4970507,9000.240234,3203.860107,356.04718752,128.3363965,853.0605755999999,1434.31515632,10235.4773237,55.5325,9343.675,8481.63194793,317.69400392,2695.0147658
2013-04-06 00:00:00,2824.4970507,9000.240234,3203.860107,356.04718752,128.3363965,853.0605755999999,1434.31515632,10235.4773237,55.5325,9343.675,8481.63194793,317.69400392,2695.0147658
2013-04-07 00:00:00,2824.4970507,9000.240234,3203.860107,356.04718752,128.3363965,853.0605755999999,1434.31515632,10235.4773237,55.5325,9343.675,8481.63194793,317.69400392,2695.0147658
2013-04-08 00:00:00,2823.3466014,9051.570313,3222.25,353.85472656,131.9258984,855.2444244000001,1432.61437504,10246.017676299998,55.42950195,9348.42096714,8537.942226840001,310.11160156,2700.8064454000005
2013-04-09 00:00:00,2843.1441792,9088.379883,3237.860107,356.12382816,131.9234961,854.7808183,1438.89765632,10361.8026763,54.95100098,9317.76191452,8495.88471645,309.14160156,2697.8566013000004
2013-04-10 00:00:00,2864.4928715,9189.080078,3297.25,356.18015632000004,132.8812988,872.54401464,1433.9679688,10403.9673237,55.58700195,9528.96845726,8626.22082987,310.1119922,2734.9399217000005
2013-04-11 00:00:00,2873.1650389,9234.019531,3300.159912,355.12847664000003,135.4916016,878.3755755999999,1427.31359376,10359.5623237,55.94,9603.38845726,8674.96056135,314.3191992,2737.6986329000006
2013-04-12 00:00:00,2871.5766014,9188.25,3294.949951,353.08480464,134.8513965,869.45737926,1413.62406256,10240.2076763,55.28549805,9448.6194244,8614.26610878,312.86519532,2704.1377342000005
2013-04-13 00:00:00,2871.5766014,9188.25,3294.949951,353.08480464,134.8513965,869.45737926,1413.62406256,10240.2076763,55.28549805,9448.6194244,8614.26610878,312.86519532,2704.1377342000005
